,Unnamed: 0,unix,low,high,open,close,volume,date,vol_fiat
0,,1623801600,2.1618,2.2359,2.2359,2.2065,243084.3,2021-06-16,536365.50795
1,,1623715200,2.1934,2.3571,2.2718,2.2359,2510402.77,2021-06-15,5613009.553443
2,,1623628800,2.1507,2.3211,2.2086,2.2749,3188151.88,2021-06-14,7252726.711812
3,,1623542400,2.0546,2.2718,2.0858,2.2061,3753148.01,2021-06-13,8279819.824861
4,,1623456000,2.0057,2.2881,2.1637,2.0864,4874219.32,2021-06-12,10169571.189248
5,,1623369600,2.0624,2.3107,2.2657,2.1624,3849014.84,2021-06-11,8323109.690016
6,,1623283200,2.2105,2.5434,2.5166,2.264,4264109.14,2021-06-10,9653943.092959998
7,,1623196800,2.1662,2.5948,2.3151,2.5297,8082261.13,2021-06-09,20445695.980561
8,,1623110400,1.9779,2.3824,2.1479,2.3151,7247115.32,2021-06-08,16777796.677332003
9,,1623024000,2.119,2.575,2.4598,2.1514,4865386.73,2021-06-07,10467393.010922002
10,,1622937600,2.403,2.6232,2.5285,2.461,4797033.71,2021-06-06,11805499.96031
11,,1622851200,2.4043,2.9043,2.6863,2.5336,9059499.24,2021-06-05,22953147.274464
12,0.0,1622764800,2.3101,2.5036,2.5032,2.3498,998498.94,2021-06-04,2346272.809212
13,1.0,1622678400,2.2902,2.75,2.3341,2.5032,10010618.65,2021-06-03,25058580.60468
14,2.0,1622592000,1.9828,2.5183,2.0495,2.3327,16861765.05,2021-06-02,39333439.332135
15,3.0,1622505600,1.7864,2.0824,1.9572,2.049,5990889.28,2021-06-01,12275332.13472
16,4.0,1622419200,1.6034,1.9708,1.6761,1.9593,5914167.21,2021-05-31,11587627.814553
17,5.0,1622332800,1.6153,1.8039,1.747,1.6797,7049575.11,2021-05-30,11841171.312267
18,6.0,1622246400,1.483,1.91,1.587,1.7473,7818609.06,2021-05-29,13661455.610538
19,7.0,1622160000,1.4973,1.9038,1.7591,1.5883,6206587.6,2021-05-28,9857923.08508
20,8.0,1622073600,1.65,1.9497,1.8986,1.7593,6915219.91,2021-05-27,12165946.387663
21,9.0,1621987200,1.5784,1.9983,1.6159,1.8987,10922993.85,2021-05-26,20739488.422995
22,10.0,1621900800,1.3913,1.7072,1.6284,1.6143,6207098.41,2021-05-25,10020118.963263
23,11.0,1621814400,1.2788,1.6495,1.3253,1.628,8086512.61,2021-05-24,13164842.52908
24,12.0,1621728000,1.0582,1.7061,1.6282,1.32,8378704.32,2021-05-23,11059889.7024
25,13.0,1621641600,1.5438,1.99,1.8507,1.6292,6661348.95,2021-05-22,10852669.70934
26,14.0,1621555200,1.5164,2.3519,2.2035,1.8481,9664479.14,2021-05-21,17860923.898634
27,15.0,1621468800,1.65,2.4396,1.962,2.2029,10322906.05,2021-05-20,22740329.737545
28,16.0,1621382400,1.68,3.58,3.4917,1.9548,12407873.63,2021-05-19,24254911.371924
29,17.0,1621296000,3.0426,3.6183,3.0894,3.492,12410143.86,2021-05-18,43336222.35912
30,18.0,1621209600,2.85,3.2751,3.2702,3.0792,5478421.38,2021-05-17,16869155.113296002
31,19.0,1621123200,3.0,3.4964,3.2259,3.2734,3864492.91,2021-05-16,12650031.091594
32,20.0,1621036800,3.1712,3.9069,3.6885,3.2233,6913932.05,2021-05-15,22285677.176765
33,21.0,1620950400,3.31,3.846,3.3653,3.6851,5530874.59,2021-05-14,20381825.951609
34,22.0,1620864000,2.9627,4.3,3.3472,3.3655,12860165.45,2021-05-13,43280886.821975
35,23.0,1620777600,3.1211,3.9058,3.3197,3.3473,10726916.63,2021-05-12,35906208.03559901
36,24.0,1620691200,2.9671,3.3491,3.0896,3.3217,2572895.8,2021-05-11,8546387.978859998
37,25.0,1620604800,2.8027,3.6969,3.452,3.0957,3762548.21,2021-05-10,11647720.493697
38,26.0,1620518400,3.2661,3.607,3.5773,3.4508,2219250.16,2021-05-09,7658188.452128001
39,27.0,1620432000,3.4692,3.99,3.6584,3.5772,4908159.03,2021-05-08,17557466.482116
40,28.0,1620345600,3.12,3.896,3.2395,3.6587,6198244.95,2021-05-07,22677518.798565
41,29.0,1620259200,3.0287,3.422,3.0963,3.2452,4901423.89,2021-05-06,15906100.807828
42,30.0,1620172800,2.7568,3.1318,2.8278,3.0998,3069970.64,2021-05-05,9516294.989872
43,31.0,1620086400,2.8143,3.2496,3.2474,2.8248,4657170.62,2021-05-04,13155575.567376
44,32.0,1620000000,3.1862,3.3781,3.28,3.2461,1972301.01,2021-05-03,6402286.308561
45,33.0,1619913600,3.1102,3.4196,3.4104,3.2779,1577292.2,2021-05-02,5170206.102379999
46,34.0,1619827200,3.1651,3.49,3.3419,3.4101,2282405.33,2021-05-01,7783230.415833
47,35.0,1619740800,2.9597,3.4009,3.0186,3.3462,3158645.06,2021-04-30,10569458.099772
48,36.0,1619654400,2.9,3.2497,3.0457,3.0181,2324311.63,2021-04-29,7015004.930503
49,37.0,1619568000,2.8175,3.22,3.1303,3.042,2980179.76,2021-04-28,9065706.82992
50,38.0,1619481600,2.7139,3.2044,2.7726,3.1358,3607502.53,2021-04-27,11312406.433574
51,39.0,1619395200,2.3518,2.8447,2.3907,2.7745,3363687.45,2021-04-26,9332550.830025
52,40.0,1619308800,2.201,2.5521,2.3786,2.3841,2048165.5,2021-04-25,4883031.36855
53,41.0,1619222400,2.3502,2.65,2.6491,2.3739,2021967.9,2021-04-24,4799949.597809999
54,42.0,1619136000,2.2548,2.855,2.7541,2.6481,4326400.61,2021-04-23,11456741.455341
55,43.0,1619049600,2.6705,3.3402,2.8989,2.756,4812535.99,2021-04-22,13263349.18844
56,44.0,1618963200,2.8223,3.1627,3.0328,2.8858,2975872.35,2021-04-21,8587772.42763
57,45.0,1618876800,2.5861,3.1022,2.8318,3.0348,4245946.78,2021-04-20,12885599.287944002
58,46.0,1618790400,2.7852,3.4661,3.2315,2.8293,3364986.5,2021-04-19,9520556.30445
59,47.0,1618704000,2.7,3.8763,3.7891,3.2282,8187178.15,2021-04-18,26429848.503830004
60,48.0,1618617600,3.7555,4.34,3.9118,3.7837,3502286.52,2021-04-17,13251601.505724
61,49.0,1618531200,3.67,4.66,4.0238,3.9118,8603230.61,2021-04-16,33654117.500198
62,50.0,1618444800,3.1415,4.1669,3.1561,4.0238,7510754.73,2021-04-15,30221774.882574
63,51.0,1618358400,2.9759,3.2977,3.1285,3.1591,2916124.05,2021-04-14,9212327.486355
64,52.0,1618272000,2.98,3.194,3.0458,3.1248,1915902.19,2021-04-13,5986811.163312
65,53.0,1618185600,2.9292,3.1216,3.1068,3.0459,3129859.03,2021-04-12,9533237.619477
66,54.0,1618099200,2.8822,3.208,2.9613,3.1091,1844679.49,2021-04-11,5735293.002359
67,55.0,1618012800,2.8602,3.049,2.9808,2.9537,1575035.36,2021-04-10,4652181.942832001
68,56.0,1617926400,2.9152,3.1411,3.076,2.9808,2310518.39,2021-04-09,6887193.216912
69,57.0,1617840000,2.85,3.0947,2.8927,3.0775,1855236.06,2021-04-08,5709488.97465
70,58.0,1617753600,2.75,3.3795,3.1893,2.8943,3170207.79,2021-04-07,9175532.406597
71,59.0,1617667200,3.0011,3.3976,3.3266,3.1859,2705118.51,2021-04-06,8618237.061009
72,60.0,1617580800,2.9155,3.501,3.1121,3.3266,4137947.29,2021-04-05,13765295.454914
73,61.0,1617494400,2.8578,3.119,2.9203,3.1164,3249325.08,2021-04-04,10126196.679312
74,62.0,1617408000,2.9,3.4085,3.35,2.9233,3049017.58,2021-04-03,8913193.091614
75,63.0,1617321600,3.196,3.54,3.3228,3.3508,3098968.57,2021-04-02,10384023.884356
76,64.0,1617235200,3.05,3.5089,3.1406,3.3077,5410839.02,2021-04-01,17897432.226453997
77,65.0,1617148800,2.958,3.2998,3.2916,3.1406,3671332.28,2021-03-31,11530186.158568
78,66.0,1617062400,3.05,3.5285,3.523,3.2916,5496294.48,2021-03-30,18091602.910368
79,67.0,1616976000,2.9907,3.5892,3.0206,3.528,10265807.23,2021-03-29,36217767.90744
80,68.0,1616889600,2.9116,3.39,3.1183,3.0253,14522103.9,2021-03-28,43933720.92867
81,69.0,1616803200,2.561,3.1957,2.6275,3.1222,15285010.45,2021-03-27,47722859.62699
82,70.0,1616716800,2.3783,2.6565,2.3853,2.6279,4294734.48,2021-03-26,11286132.739992
83,71.0,1616630400,2.347,2.78,2.78,2.3891,3617332.16,2021-03-25,8642168.263456
